,time,Ax,Ay,Az,Temperatura,Presion,Altura1,Gx,Gy,Gz
43,-560,26,-53,255,845,40052,5,25,-120,30096
44,-560,26,-53,255,845,40052,5,25,-120,30096
45,-560,26,-53,255,845,40052,5,25,-120,30096
46,-560,26,-53,255,845,40052,5,25,-120,30096
47,-560,26,-53,255,845,40052,5,25,-120,30096
48,-560,26,-53,255,845,40052,5,25,-120,30096
49,-560,26,-53,255,845,40052,5,25,-120,30096
50,-560,26,-53,255,845,40052,5,25,-120,30096
51,-560,26,-53,255,845,40052,5,25,-120,30096
52,-560,26,-53,255,845,40052,5,25,-120,30096
53,-560,26,-53,255,845,40052,5,25,-120,30096
54,-560,26,-53,255,845,40052,5,25,-120,30096
55,-560,26,-53,255,845,40052,5,25,-120,30096
56,-560,26,-53,255,845,40052,5,25,-120,30096
57,-560,26,-53,255,845,40052,5,25,-120,30096
58,-560,26,-53,255,845,40052,5,25,-120,30096
59,-560,26,-53,255,845,40052,5,25,-120,30096
60,-560,26,-53,255,845,40052,5,25,-120,30096
61,-560,26,-53,255,845,40052,5,25,-120,30096
62,-560,26,-53,255,845,40052,5,25,-120,30096
63,-560,26,-53,255,845,40052,5,25,-120,30096
64,-560,26,-53,255,845,40052,5,25,-120,30096
65,-560,26,-53,255,845,40052,5,25,-120,30096
66,-560,26,-53,255,845,40052,5,25,-120,30096
67,-560,26,-53,255,845,40052,5,25,-120,30096
68,-560,26,-53,255,845,40052,5,25,-120,30096
69,-560,26,-53,255,845,40052,5,25,-120,30096
70,-560,26,-53,255,845,40052,5,25,-120,30096
71,-560,26,-53,255,845,40052,5,25,-120,30096
72,-560,26,-53,255,845,40052,5,25,-120,30096
73,-560,26,-53,255,845,40052,5,25,-120,30096
74,-560,26,-53,255,845,40052,5,25,-120,30096
75,-560,26,-53,255,845,40052,5,25,-120,30096
76,-560,26,-53,255,845,40052,5,25,-120,30096
77,-560,26,-53,255,845,40052,5,25,-120,30096
78,-560,26,-53,255,845,40052,5,25,-120,30096
79,-560,26,-53,255,845,40052,5,25,-120,30096
80,-560,26,-53,255,845,40052,5,25,-120,30096
81,-560,26,-53,255,845,40052,5,25,-120,30096
82,-560,26,-53,255,845,40052,5,25,-120,30096
83,-560,26,-53,255,845,40052,5,25,-120,30096
84,-560,26,-53,255,845,40052,5,25,-120,30096
85,-560,26,-53,255,845,40052,5,25,-120,30096
86,-560,26,-53,255,845,40052,5,25,-120,30096
87,-560,26,-53,255,845,40052,5,25,-120,30096
88,-560,26,-53,255,845,40052,5,25,-120,30096
89,-560,26,-53,255,845,40052,5,25,-120,30096
90,-560,26,-53,255,845,40052,5,25,-120,30096
91,-560,26,-53,255,845,40052,5,25,-120,30096
92,-560,26,-53,255,845,40052,5,25,-120,30096
